Deposit ofbank andfinancialinstitutions	1,764,148,055		55,194,622		247,601,493	264,591,104		10,425,545,948																				
IMF relatedliabilities									11,563,834,777																			
TotalFinancialliabilities	1,764,148,055	0	55,194,622	0	247,601,493	264,591,104	0	10,425,545,948	11,563,834,777																			
	Net																											
Financial																												
Position		698,558,070,44			200,753,282,21			11,913,853,78			8,524,399,04			3,486,984,83			634,207,72			222,442,23			(8,882,978,243			(11,144,516,299		
Currency																												
Exposure																												
