	As at 31 December 2022 (` in million)			
	Gain o appreciatio	Loss o depreciatio		
	18.	(18.4)		
	40.	(40.8)		
	2.	(2.5)		
	0.3	(0.3)		
	3.3	(3.3)		
	2.9	(2.9)		
	6.3	(6.3)		
