Particulars	As at 1 October 2022 (` in million)	
ASSETS Non-current assets Property, Plant and Equipment Loans Current assets Inventories Trade receivables Loans Other current assets Total Assets		
		
0.3		
0.1		
0.4		
		
		
169.1		
8.0		
0.2		
116.6		
293.9		
		
294.3		
