Particulars	CarryingValue	Fair Value	Level 1	Level 2	Level 3	
Equity investment	3,148,462,010	3,148,462,010		168,426,475	2,980,035,535	
Total financialassets at FairValue	3,148,462,010	3,148,462,010	-	168,426,475	2,980,035,535	
