Particulars	Contractual and Other Cash Flows						
	CarryingAmount	upto 1 month	1-3 months	3-12 months	1 -3 Year	More than 3 Year	
Foreign currency financial assetsCash and balances with banksDerivative financial assetsIMF related assetsTerm deposit with foreign banksInvestments in foreign securitiesOther receivables	101,063,328,870419,318,478592,728,576,696554,578,002,954	101,063,328,870419,318,478390,315,1265,921,058,212	173,447,449,401356,940,094,116	418,890,812,16919,997,897,599	147,990,649,355-	----23,728,303,672-	
Total foreign currency financial assets	1,248,789,226,998	107,794,020,686	530,387,543,517	438,888,709,768	147,990,649,355	23,728,303,672	
